District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Bhiwani,66.3,999.0,87.3,81.3,22.9,90.5,75.1,86.0,43.1,20.7,72.2,6.4,49.9,32.0,86.6,71.0,71.1,41.4,4.5,4.2,36.8,23.4,21.0,19.1,21.3,74.4,64.3,11.7,HR,Rural,Northern Zone
Rohtak,77.5,807.0,99.8,79.6,74.4,99.7,80.2,88.1,56.2,26.9,66.8,5.4,49.0,30.3,85.2,57.9,66.9,53.6,5.0,6.5,38.4,13.6,13.3,24.9,19.6,72.0,53.9,11.5,HR,Urban,Northern Zone
Rohtak,67.2,1010.0,97.2,75.0,23.9,97.8,76.5,89.7,39.9,18.6,61.5,8.5,48.0,26.0,87.0,67.0,59.6,50.6,4.1,5.2,35.5,17.9,8.7,19.2,11.1,78.8,60.7,19.4,HR,Rural,Northern Zone
Jhajjar,71.0,694.0,93.8,85.6,25.9,90.5,81.9,96.3,51.9,17.4,66.1,7.1,45.7,30.2,91.2,54.6,78.2,41.2,18.5,17.4,19.0,12.2,11.0,23.5,18.1,69.8,58.8,18.4,HR,Rural,Northern Zone
Mahendragarh,67.8,712.0,95.6,72.0,25.8,88.4,77.1,96.2,47.2,15.9,63.8,7.7,46.1,35.4,96.3,73.3,84.8,73.8,19.4,18.4,24.7,20.1,18.0,14.5,14.6,74.9,63.7,36.3,HR,Rural,Northern Zone
Rewari,66.8,579.0,92.2,70.5,22.0,97.2,77.9,97.8,44.2,21.6,43.9,13.8,28.5,22.6,90.6,43.9,59.4,36.7,1.5,3.0,28.3,22.6,17.6,19.8,16.1,81.0,65.8,10.2,HR,Rural,Northern Zone
Gurgaon,77.7,924.0,98.6,63.9,92.3,94.8,73.1,88.8,51.9,42.3,50.7,14.1,37.9,20.4,71.9,27.3,76.6,17.9,7.6,5.6,44.3,11.0,5.8,20.2,21.7,63.0,74.6,23.5,HR,Urban,Northern Zone
Gurgaon,73.9,893.0,95.1,75.4,41.6,94.5,79.2,97.1,48.4,24.9,37.3,14.2,15.8,15.8,81.4,10.8,53.2,19.5,2.4,6.3,28.5,17.1,11.1,20.1,22.0,78.2,68.8,21.8,HR,Rural,Northern Zone
Mewat,46.6,941.0,75.2,44.6,10.6,65.3,33.6,78.3,9.3,38.3,12.9,29.4,5.6,6.9,36.9,11.0,23.5,34.9,4.6,4.6,53.0,26.9,30.2,9.2,11.3,84.2,69.9,21.0,HR,Rural,Northern Zone
Faridabad,76.3,631.0,46.0,79.0,89.1,91.8,76.6,96.4,43.8,21.5,26.5,21.0,33.4,20.4,73.3,51.4,50.7,56.4,11.4,13.8,28.0,13.2,10.8,25.0,19.4,75.3,52.7,13.5,HR,Urban,Northern Zone
Palwal,57.0,970.0,92.4,60.2,16.7,80.2,54.1,89.6,26.3,31.3,29.3,20.0,14.2,5.5,49.2,21.6,40.2,30.7,5.1,6.0,37.6,17.9,13.8,11.8,20.8,78.2,63.0,11.3,HR,Rural,Northern Zone
South Goa,83.6,792.0,97.3,72.3,92.8,98.5,84.0,95.1,51.4,15.3,40.1,16.0,84.0,37.9,93.1,90.1,84.3,52.4,8.0,6.0,18.3,8.7,6.2,32.7,34.5,50.6,26.5,9.4,GA,Urban,Western Zone
North West,80.38,724.93,79.05,65.97,96.91,98.09,76.03,95.52,47.86,16.13,47.89,16.14,65.8,52.04,78.07,74.09,61.19,36.7,5.4,8.54,38.52,14.64,28.86,36.59,14.52,73.38,50.85,28.53,DL,Urban,Northern Zone
North,83.02,1050.57,88.2,77.47,97.6,97.93,83.31,82.52,49.97,14.54,41.67,20.92,71.66,41.19,89.06,51.61,52.2,29.49,0.01,0.0,29.15,12.62,17.91,38.44,23.22,61.71,51.58,29.9,DL,Urban,Northern Zone
North East,79.26,778.02,96.63,75.53,98.83,98.77,83.66,82.55,52.19,11.99,51.31,14.63,59.39,39.75,78.63,55.2,54.35,27.29,10.59,8.97,27.85,12.69,13.28,31.18,27.29,46.6,33.44,19.38,DL,Urban,Northern Zone
East,85.04,854.17,92.09,80.81,98.15,96.91,84.59,90.35,63.41,5.8,34.6,18.07,60.95,41.92,85.22,63.96,53.61,30.19,0.94,3.69,22.53,9.05,17.59,43.71,35.98,48.65,38.74,15.31,DL,Urban,Northern Zone
Central,83.78,1596.35,95.13,74.6,97.75,98.96,86.69,94.26,62.54,5.85,42.05,15.71,81.15,69.09,96.34,69.53,57.42,32.19,12.1,8.59,36.61,9.72,11.0,35.59,17.03,77.21,48.77,23.64,DL,Urban,Northern Zone
South West,81.42,754.21,82.23,63.61,98.38,98.76,81.58,76.23,60.24,19.15,52.41,11.71,73.66,59.28,92.32,84.92,60.71,27.32,4.99,3.73,32.99,14.02,12.29,35.23,28.18,63.55,60.87,26.12,DL,Urban,Northern Zone
South,80.24,847.09,76.75,73.58,96.74,98.31,80.43,93.89,51.66,15.23,42.86,17.87,69.31,51.98,84.09,51.13,41.88,29.19,4.16,5.54,31.25,14.23,12.52,32.45,29.93,67.91,58.62,8.62,DL,Urban,Northern Zone
Belgaum,65.7,890.0,98.2,31.6,31.9,95.8,70.2,86.9,35.6,34.8,60.3,9.0,76.0,61.7,96.6,64.9,89.5,74.3,3.1,2.6,40.0,20.6,15.8,18.6,22.8,70.7,41.5,13.5,KA,Rural,Southern Zone
Bagalkot,72.5,652.0,83.3,38.4,50.2,88.5,67.7,79.6,43.6,25.4,54.7,12.3,85.3,40.0,93.3,83.3,87.1,75.7,0.0,1.6,52.8,21.5,19.5,23.3,23.4,64.5,43.4,12.8,KA,Urban,Southern Zone
Bagalkot,56.4,884.0,90.9,14.9,19.0,82.6,54.7,69.6,25.0,41.1,54.9,6.5,77.4,48.1,91.2,71.6,91.8,54.8,9.9,9.3,44.5,21.1,19.2,12.8,8.9,61.8,39.4,13.8,KA,Rural,Southern Zone
Bijapur,57.8,1074.0,86.9,14.1,17.1,81.2,61.1,80.7,28.0,36.0,59.4,6.7,60.5,42.1,89.3,55.2,67.6,43.4,1.8,1.4,48.0,20.8,11.7,13.4,13.9,68.3,40.9,21.6,KA,Rural,Southern Zone
Bidar,59.9,1062.0,95.7,14.3,15.3,94.0,67.7,87.1,37.9,28.0,58.7,7.2,72.6,54.2,98.4,60.3,75.5,69.3,8.6,8.2,43.4,29.5,24.7,12.2,12.6,71.6,45.3,23.0,KA,Rural,Southern Zone
Raichur,48.4,1045.0,80.3,12.8,11.6,78.3,36.5,78.4,20.0,31.2,55.5,8.5,59.6,51.3,80.0,61.5,70.8,52.4,1.6,1.4,39.6,21.7,12.0,13.0,27.4,72.8,59.2,24.5,KA,Rural,Southern Zone
Koppal,60.8,932.0,92.0,41.5,22.0,82.2,50.8,78.0,23.5,36.0,44.6,11.8,56.4,19.6,83.9,75.3,92.5,63.9,0.0,2.4,59.7,26.9,24.4,10.5,15.0,67.1,47.1,18.0,KA,Rural,Southern Zone
Dharwad,82.4,850.0,98.4,71.9,78.7,95.0,81.7,92.1,61.6,22.8,55.0,11.9,74.6,45.7,96.4,41.8,79.0,52.7,5.4,7.0,32.9,15.5,15.6,37.2,39.3,51.1,42.8,13.6,KA,Urban,Southern Zone
Dharwad,68.8,887.0,90.7,46.2,20.6,76.0,61.8,79.0,30.9,23.4,65.1,4.3,79.9,45.5,93.8,72.9,60.8,64.1,0.0,0.0,44.0,16.7,9.8,18.4,18.2,50.2,50.2,24.6,KA,Rural,Southern Zone
Uttara Kannada,79.3,776.0,62.2,61.8,38.4,87.6,80.4,88.5,44.1,16.7,32.5,10.7,74.7,33.7,93.3,68.6,73.9,53.7,0.0,11.1,42.1,36.1,39.3,15.7,5.0,51.8,42.8,10.6,KA,Rural,Southern Zone
Haveri,70.2,900.0,94.2,46.2,25.6,80.9,65.9,86.9,29.2,24.5,48.7,8.7,68.4,25.6,98.1,67.9,93.0,60.8,0.0,3.8,47.5,21.7,18.9,16.7,11.8,60.4,53.1,15.4,KA,Rural,Southern Zone
Bellary,69.0,897.0,97.1,60.2,61.1,82.7,62.8,82.9,36.5,22.2,53.7,11.2,86.9,41.6,86.0,70.4,81.2,67.6,2.3,2.1,51.9,21.7,6.7,24.7,37.0,70.0,42.1,18.2,KA,Urban,Southern Zone
Bellary,52.8,880.0,92.5,26.4,36.0,72.6,46.2,74.8,20.0,37.7,49.0,8.2,76.4,47.0,86.2,71.5,75.2,40.6,6.1,6.3,47.9,24.9,26.2,14.5,10.3,73.9,55.4,21.2,KA,Rural,Southern Zone
Chitradurga,63.7,852.0,89.5,32.0,22.0,67.5,65.7,83.6,39.2,24.4,64.3,6.2,66.5,37.7,94.2,45.0,76.9,57.4,5.3,20.1,32.3,22.8,15.2,10.2,18.8,61.7,45.0,20.7,KA,Rural,Southern Zone
Davanagere,82.5,966.0,97.9,88.5,88.3,92.3,85.3,86.9,58.3,17.1,51.7,10.7,91.7,64.5,99.0,42.2,87.2,70.7,16.0,15.6,47.9,18.0,15.5,32.7,29.5,56.7,45.1,11.4,KA,Urban,Southern Zone
Davanagere,61.6,1057.0,92.2,49.4,31.6,75.8,62.4,69.7,36.8,31.4,60.2,6.2,87.2,66.5,97.1,91.1,86.6,73.1,7.5,5.5,45.7,25.5,20.1,21.7,15.2,69.9,48.0,22.8,KA,Rural,Southern Zone
Tumkur,65.5,784.0,88.0,41.9,25.2,82.5,68.0,85.5,44.1,21.7,62.5,8.6,67.3,56.4,95.5,71.8,70.9,54.6,9.1,5.9,30.8,21.8,17.2,17.3,16.8,56.0,53.7,16.9,KA,Rural,Southern Zone
Bangalore,84.9,729.0,91.7,86.2,94.7,95.6,86.5,91.9,68.3,14.0,44.0,13.3,55.1,46.8,95.7,61.4,69.0,46.9,17.4,16.1,29.4,13.2,9.6,33.4,27.5,52.2,40.2,20.4,KA,Urban,Southern Zone
Mandya,60.6,950.0,94.8,50.4,44.0,93.0,67.5,81.5,44.3,21.6,62.8,5.5,86.1,19.7,98.8,61.0,87.3,49.5,3.3,17.1,17.2,20.1,12.0,25.7,25.5,54.7,45.5,20.6,KA,Rural,Southern Zone
Kodagu,77.6,1255.0,79.6,82.7,41.8,89.1,81.2,88.5,49.1,12.9,42.6,14.7,83.5,35.8,97.4,66.3,84.3,49.5,5.7,11.6,31.0,20.9,23.7,23.9,24.0,45.7,36.9,10.7,KA,Rural,Southern Zone
Mysore,61.2,900.0,95.0,46.8,46.3,81.9,58.6,81.9,30.8,26.8,61.9,9.6,66.1,47.2,93.0,52.1,74.3,63.6,8.8,10.2,28.1,24.6,10.4,19.1,18.3,63.9,45.4,9.6,KA,Rural,Southern Zone
Gulbarga,73.3,985.0,96.7,56.1,72.0,88.9,69.1,90.2,48.8,25.0,50.5,7.3,81.7,33.5,93.6,20.2,83.3,56.6,1.9,1.5,45.0,17.3,26.8,20.9,17.2,68.5,40.1,15.4,KA,Urban,Southern Zone
Gulbarga,52.5,869.0,93.8,11.2,10.8,83.7,43.9,73.8,22.7,30.5,55.7,6.7,86.6,33.6,89.8,77.8,87.1,56.3,1.9,3.3,56.6,26.2,17.1,10.3,19.7,74.9,45.2,14.6,KA,Rural,Southern Zone
Yadgir,42.2,802.0,91.2,10.0,8.3,85.0,32.3,48.0,15.6,37.8,52.2,7.5,59.4,28.7,89.3,52.8,74.4,69.0,4.6,7.5,56.8,26.3,12.4,9.3,9.2,74.9,51.4,15.7,KA,Rural,Southern Zone
Bangalore Rural,68.2,1305.0,86.1,73.2,57.2,79.9,73.2,88.8,47.1,28.5,59.1,10.8,78.4,44.9,98.0,66.9,88.2,52.1,2.9,9.4,31.0,23.0,18.8,20.0,20.9,46.8,48.1,24.4,KA,Rural,Southern Zone
Bangalore Rural - Total,70.8,1313.0,77.5,74.4,64.5,83.0,74.6,90.9,49.6,25.8,57.9,11.2,75.6,46.5,98.5,64.1,88.2,54.0,2.1,8.4,28.7,21.3,16.7,24.5,22.3,48.8,46.2,22.9,KA,Rural,Southern Zone
Ramanagara,57.9,928.0,95.8,56.1,46.6,81.6,68.3,86.9,43.7,24.1,60.0,5.5,67.1,29.8,99.6,53.3,94.0,52.9,0.0,5.8,25.5,25.7,18.5,19.9,32.9,53.6,46.5,24.8,KA,Rural,Southern Zone
Sheopur,50.8,932.0,92.1,11.2,7.6,97.0,37.7,79.7,9.0,33.9,53.0,12.5,16.0,20.9,75.2,45.7,57.9,43.2,0.0,0.9,50.1,43.9,40.8,5.8,5.9,78.0,61.8,30.3,MP,Rural,Central Zone
Morena,57.4,1016.0,89.6,21.8,8.8,83.1,53.9,83.8,16.1,28.6,57.2,11.8,36.0,15.4,91.9,61.4,55.8,35.6,4.2,3.9,50.5,30.1,29.8,10.1,6.6,65.6,57.4,35.8,MP,Rural,Central Zone
Bhind,60.3,843.0,90.2,21.2,7.2,92.9,55.5,81.1,21.9,34.3,55.7,14.6,26.3,21.7,81.4,52.4,58.3,40.8,2.3,3.0,50.3,32.1,29.0,11.1,9.8,74.2,64.4,39.0,MP,Rural,Central Zone
Gwalior,75.9,833.0,98.9,69.2,79.4,98.7,76.2,85.5,42.8,10.3,48.2,12.0,43.0,36.1,93.8,51.4,62.2,25.8,3.3,2.4,42.1,21.0,22.6,17.5,14.1,69.5,56.1,32.5,MP,Urban,Central Zone
Gwalior,54.6,899.0,93.6,30.1,12.9,95.4,47.5,75.9,10.8,37.4,44.0,12.0,24.8,28.3,79.3,54.4,63.0,28.9,1.9,1.5,44.1,24.8,27.9,6.7,5.7,67.1,60.1,39.2,MP,Rural,Central Zone
Datia,56.7,830.0,89.4,23.4,5.0,81.4,50.8,75.5,11.2,44.3,57.4,14.0,24.4,14.3,82.6,48.2,42.3,33.5,4.9,4.3,51.3,35.0,42.7,7.2,2.6,72.0,61.2,29.4,MP,Rural,Central Zone
Shivpuri,51.1,1083.0,59.9,11.3,4.6,94.1,39.1,72.4,6.6,40.1,56.9,12.9,20.2,15.2,84.8,60.6,55.0,37.5,6.4,6.9,51.0,34.9,35.0,5.2,4.5,66.5,51.0,20.5,MP,Rural,Central Zone
Tikamgarh,56.2,905.0,71.1,9.8,8.2,69.4,47.4,81.2,10.9,51.3,47.2,13.3,19.1,13.4,79.5,32.6,50.5,34.0,3.2,3.9,50.0,32.4,30.3,6.1,6.7,69.9,45.1,23.5,MP,Rural,Central Zone
Chhatarpur,55.5,851.0,67.6,5.6,2.2,66.7,46.2,82.5,9.3,49.1,50.3,11.0,15.0,14.2,79.7,42.7,50.2,38.9,11.3,9.9,44.4,30.1,34.3,6.5,6.4,69.7,49.5,19.7,MP,Rural,Central Zone
Panna,58.4,763.0,75.2,13.2,5.0,84.7,52.9,72.0,16.6,34.2,41.4,17.4,12.7,16.5,71.9,26.2,47.1,31.0,11.9,11.9,43.1,25.9,35.7,9.0,3.6,69.0,49.2,16.0,MP,Rural,Central Zone
Sagar,67.9,855.0,75.3,17.3,4.1,90.7,58.4,88.0,15.9,42.6,45.0,13.2,12.9,17.7,72.9,53.0,47.3,26.0,7.7,8.0,39.7,24.9,27.6,10.8,5.9,67.8,38.5,15.0,MP,Rural,Central Zone
Damoh,60.5,908.0,74.6,11.8,2.4,86.3,51.6,83.9,9.2,43.9,35.6,13.5,21.4,18.4,63.5,53.0,46.9,48.5,6.6,7.3,43.2,31.7,40.1,9.1,2.6,76.4,47.0,25.9,MP,Rural,Central Zone
Satna,61.8,1022.0,89.6,19.8,7.4,90.6,61.4,89.4,17.2,39.2,50.4,14.0,17.4,14.9,80.4,49.5,58.2,33.3,4.1,3.9,44.5,25.3,27.0,11.4,7.6,73.4,48.6,29.2,MP,Rural,Central Zone
Rewa,62.7,912.0,86.2,18.3,4.0,87.9,60.7,85.1,19.1,37.1,53.6,13.5,24.0,14.8,79.7,47.8,63.1,46.3,4.7,5.2,41.3,24.1,26.1,12.8,13.0,54.9,40.4,22.9,MP,Rural,Central Zone
Umaria,58.6,1039.0,64.8,10.8,4.5,88.2,53.9,71.2,11.0,39.0,48.0,11.8,14.4,13.5,82.6,65.8,59.7,35.8,6.7,6.7,42.9,30.6,37.6,6.2,1.6,76.2,62.5,43.4,MP,Rural,Central Zone
Neemuch,55.8,843.0,69.3,22.0,22.7,98.0,47.7,87.8,14.0,33.6,15.4,11.7,34.3,19.8,83.7,42.7,67.6,22.4,9.6,7.6,36.1,34.2,15.5,11.5,15.0,68.6,52.2,20.4,MP,Rural,Central Zone
Mandsaur,55.4,722.0,64.3,19.7,14.0,97.6,47.4,84.7,10.9,54.5,17.0,13.9,30.8,9.0,86.6,38.9,51.9,37.9,3.4,3.1,36.3,33.6,36.1,10.5,13.2,65.7,50.0,21.7,MP,Rural,Central Zone
Ratlam,51.7,946.0,84.9,17.8,14.5,93.9,41.7,82.1,8.7,51.4,26.4,14.4,29.0,16.1,81.4,43.8,62.2,8.3,8.9,7.1,50.3,38.8,43.1,8.7,2.9,77.2,56.0,24.2,MP,Rural,Central Zone
Ujjain,76.4,931.0,97.6,75.5,84.1,99.8,75.3,92.5,37.0,23.6,41.3,17.0,54.2,25.6,92.3,60.1,82.2,19.8,9.2,9.1,37.6,19.2,17.7,27.8,19.1,70.3,47.1,16.4,MP,Urban,Central Zone
Ujjain,55.5,1134.0,87.2,35.6,20.4,97.0,46.8,82.8,9.2,53.2,30.3,12.6,32.4,15.3,87.0,55.0,68.1,18.5,7.4,6.9,34.8,31.5,26.6,10.2,6.6,68.4,47.6,19.3,MP,Rural,Central Zone
Shajapur,52.5,888.0,79.7,25.3,11.5,96.3,42.6,83.7,11.8,41.2,52.6,12.5,54.6,27.8,96.1,67.6,44.5,21.5,0.0,0.0,49.6,30.5,27.2,9.4,9.9,80.3,52.5,33.0,MP,Rural,Central Zone
Dewas,59.0,1037.0,91.4,37.8,16.8,98.8,55.6,87.0,15.2,37.7,55.1,11.6,35.1,21.0,90.1,64.5,64.3,29.1,12.2,11.0,44.4,31.9,23.6,10.5,14.4,66.5,48.3,18.7,MP,Rural,Central Zone
Dhar,50.4,970.0,82.4,24.4,16.8,97.6,43.9,72.0,13.0,35.0,51.5,10.2,28.9,15.5,75.7,62.3,64.5,15.8,14.5,11.5,44.2,33.5,34.8,8.9,10.0,76.7,57.5,26.4,MP,Rural,Central Zone
Indore,79.5,844.0,99.0,78.0,94.4,99.7,78.1,91.4,47.4,15.0,54.1,12.4,76.7,36.7,96.1,60.5,62.4,23.4,14.4,12.3,39.2,17.7,18.6,24.3,21.4,71.4,46.5,21.0,MP,Urban,Central Zone
Khargone (West Nimar),56.6,1002.0,89.5,23.9,21.7,99.3,48.3,80.6,12.4,27.7,71.6,6.8,34.9,22.1,70.7,62.7,79.9,20.0,5.5,6.5,49.3,39.4,31.3,8.1,8.9,77.5,57.9,28.8,MP,Rural,Central Zone
Barwani,45.4,849.0,81.5,11.3,9.8,97.4,32.5,47.2,7.2,50.3,50.4,8.0,22.8,17.7,45.9,38.3,49.0,34.9,3.2,3.4,54.5,45.2,46.1,6.7,4.0,83.1,66.2,46.6,MP,Rural,Central Zone
Rajgarh,50.8,1053.0,60.0,10.1,6.7,95.5,45.9,75.5,12.8,41.8,51.7,15.1,33.7,15.8,86.6,41.6,46.2,34.1,0.0,0.0,39.7,38.4,34.0,4.8,6.2,63.7,50.1,17.3,MP,Rural,Central Zone
Vidisha,62.7,1023.0,92.3,16.1,6.9,92.2,53.9,75.7,10.2,44.7,23.6,20.0,17.0,14.7,67.7,38.9,41.1,47.0,9.0,7.2,43.7,26.4,32.9,11.1,4.6,68.9,42.4,25.8,MP,Rural,Central Zone
Bhopal,80.8,879.0,95.2,70.3,86.5,98.7,79.9,95.5,48.6,11.2,51.0,16.5,57.3,37.8,94.2,62.5,54.6,14.6,7.0,6.7,47.9,18.4,21.7,26.0,24.0,78.1,47.6,22.3,MP,Urban,Central Zone
Sehore,54.8,900.0,86.8,37.3,12.4,97.4,54.4,84.3,16.6,39.5,55.4,14.4,38.0,20.2,86.7,55.0,61.3,31.0,7.5,6.6,33.0,27.1,32.0,11.7,11.6,67.6,47.2,20.6,MP,Rural,Central Zone
Raisen,65.2,922.0,93.2,29.1,10.3,90.4,57.2,79.9,14.1,32.9,64.8,9.1,51.4,20.0,80.7,76.1,73.4,41.7,4.4,4.1,47.6,32.1,40.7,8.3,5.3,69.9,50.9,22.8,MP,Rural,Central Zone
Betul,64.4,870.0,82.1,17.7,12.3,95.1,63.4,75.7,24.0,15.1,60.9,8.5,32.8,23.6,71.6,68.3,67.9,47.6,6.4,5.9,37.4,30.4,24.3,10.3,3.8,61.4,55.6,36.8,MP,Rural,Central Zone
Harda,59.9,764.0,84.5,45.2,16.4,99.1,53.5,73.0,9.7,27.3,47.5,8.0,35.7,17.7,75.8,45.8,69.3,27.0,0.9,1.8,42.6,24.1,31.1,11.7,10.4,68.2,50.8,30.6,MP,Rural,Central Zone
Hoshangabad,81.8,1070.0,99.2,73.7,75.8,99.7,81.8,92.0,49.7,13.4,42.3,10.4,51.4,37.7,98.0,58.1,75.6,24.9,3.5,3.6,30.4,18.0,9.4,23.0,15.8,66.7,52.8,30.5,MP,Urban,Central Zone
Hoshangabad,65.5,926.0,87.4,33.6,15.0,99.3,61.6,87.4,17.6,20.6,53.0,8.7,44.5,22.8,86.0,46.6,67.4,40.5,1.2,1.0,39.3,25.5,23.3,10.7,3.7,67.4,57.2,37.3,MP,Rural,Central Zone
Katni,64.5,1223.0,88.4,12.8,5.5,75.1,60.5,79.7,15.0,29.9,46.3,9.0,29.8,25.7,75.6,45.7,71.0,48.0,16.6,16.4,48.9,29.4,22.1,11.1,10.0,67.0,53.1,20.7,MP,Rural,Central Zone
Jabalpur,84.2,848.0,99.7,67.4,77.5,96.5,83.6,91.3,51.0,7.3,53.4,12.8,65.9,49.7,92.3,61.8,67.0,46.0,7.1,6.4,28.1,18.5,21.3,28.2,20.1,56.3,45.7,18.4,MP,Urban,Central Zone
Jabalpur,66.8,1009.0,92.6,21.6,10.8,84.3,59.9,83.4,18.1,24.1,71.1,7.5,48.1,36.1,84.2,73.6,70.6,52.5,6.9,5.7,44.8,30.0,29.9,10.8,9.8,62.7,55.0,22.2,MP,Rural,Central Zone
Narsimhapur,67.5,874.0,96.3,31.7,8.1,95.4,61.2,84.8,18.9,32.1,48.4,8.8,30.8,28.9,83.3,48.5,62.5,28.8,8.7,8.0,36.8,28.4,27.5,12.0,12.9,67.9,48.5,16.3,MP,Rural,Central Zone
Dindori,58.4,891.0,69.8,5.0,1.9,78.1,49.5,78.2,11.9,36.1,64.2,7.3,22.0,16.8,54.7,48.5,59.6,38.0,2.0,1.9,46.9,36.2,26.3,4.0,5.0,66.6,67.5,42.2,MP,Rural,Central Zone
Mandla,60.4,957.0,58.4,7.9,6.3,79.7,52.7,76.9,12.4,30.5,66.2,7.7,40.0,23.9,54.5,51.0,66.6,53.6,3.7,3.6,39.4,36.8,35.2,5.4,5.8,71.4,74.4,41.7,MP,Rural,Central Zone
Chhindwara,62.6,917.0,75.8,23.6,9.8,94.5,61.2,77.5,21.8,19.6,65.6,7.9,37.4,36.7,83.4,57.5,68.3,36.9,11.8,10.3,37.1,31.7,20.3,11.3,8.9,68.8,52.2,21.5,MP,Rural,Central Zone
Seoni,66.1,956.0,75.7,17.1,8.2,91.9,59.7,71.8,17.7,17.8,71.1,6.1,40.5,39.9,84.1,52.9,67.6,46.9,12.1,11.6,33.6,33.4,25.3,7.2,12.8,63.0,57.7,24.4,MP,Rural,Central Zone
Balaghat,72.1,1046.0,73.1,22.0,7.6,94.9,70.8,82.2,23.4,9.7,57.2,9.0,37.1,34.5,82.1,60.7,61.0,52.3,4.6,4.4,33.4,44.9,43.9,5.4,1.7,70.4,70.0,38.7,MP,Rural,Central Zone
Guna,52.6,1006.0,77.1,15.6,6.6,91.2,36.1,74.1,9.7,35.8,59.0,10.5,31.4,20.0,87.6,61.3,57.6,45.1,1.7,3.2,42.7,37.2,44.7,6.8,4.3,68.0,45.0,17.3,MP,Rural,Central Zone
Ashoknagar,56.0,938.0,90.0,12.9,6.8,88.9,47.6,73.6,7.2,36.7,57.6,14.6,39.2,14.6,78.8,30.7,61.2,30.5,6.1,6.2,42.8,32.1,37.8,8.3,6.6,62.1,42.2,22.9,MP,Rural,Central Zone
Shahdol,55.7,911.0,60.6,8.2,5.8,88.7,48.6,85.1,13.3,40.3,42.7,11.5,22.8,20.8,71.6,39.2,53.6,54.8,9.3,8.7,37.6,30.6,31.2,8.8,6.9,67.4,63.5,39.8,MP,Rural,Central Zone
Anuppur,59.4,795.0,62.2,6.5,3.5,93.0,55.3,74.8,15.0,32.7,46.9,12.8,32.5,32.8,75.2,54.0,65.0,45.1,7.2,6.8,36.2,29.8,30.0,4.6,3.4,68.2,65.4,50.3,MP,Rural,Central Zone
Sidhi,62.0,861.0,69.3,8.5,4.8,90.8,55.3,82.7,18.0,46.4,31.7,19.7,11.0,9.9,59.4,33.3,46.7,48.7,7.0,7.0,48.4,27.7,31.4,9.7,7.6,68.7,50.6,22.8,MP,Rural,Central Zone
Singrauli,55.1,972.0,46.1,3.7,4.5,88.2,47.1,74.3,12.4,37.7,33.5,15.7,15.0,17.0,38.1,39.8,48.6,34.4,11.6,11.5,34.4,21.4,16.7,6.2,9.0,64.0,54.3,37.3,MP,Rural,Central Zone
Jhabua,33.6,1025.0,83.7,9.0,5.1,93.3,24.3,52.1,6.4,53.8,8.3,15.7,20.5,18.8,73.2,19.9,49.6,21.6,5.1,8.1,45.8,31.1,31.3,9.1,7.0,73.4,60.0,34.6,MP,Rural,Central Zone
Alirajpur,32.1,953.0,88.1,10.9,5.2,93.2,22.0,49.4,6.2,38.3,30.7,10.3,19.7,11.0,48.2,22.1,53.6,26.5,3.7,4.0,49.9,37.5,38.0,5.1,6.0,75.4,64.7,49.2,MP,Rural,Central Zone
Khandwa (East Nimar),57.3,848.0,73.4,23.5,13.0,97.8,44.4,71.8,10.0,18.8,67.9,6.7,45.0,34.8,79.2,53.9,74.9,30.0,1.9,1.7,46.8,38.6,38.8,8.1,5.2,77.2,59.6,19.8,MP,Rural,Central Zone
Burhanpur,79.8,852.0,99.5,54.8,77.3,99.1,75.8,80.6,38.0,16.2,53.8,12.7,50.4,32.7,93.8,57.3,63.1,45.2,1.9,3.3,40.0,22.8,18.2,25.2,20.6,77.8,62.5,30.8,MP,Urban,Central Zone
Burhanpur,54.7,926.0,90.1,30.7,25.0,99.0,47.1,63.8,12.9,29.5,57.5,9.1,35.7,26.8,67.6,36.1,51.7,40.7,2.6,4.4,54.9,32.1,25.6,10.5,7.4,81.4,68.6,33.4,MP,Rural,Central Zone
