District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Malkangiri,42.42,902.02,89.36,16.09,3.86,90.76,32.63,59.85,9.8,39.89,45.66,11.67,69.76,40.01,67.18,75.9,63.37,66.47,17.58,17.12,47.16,47.53,28.37,4.97,5.55,72.6,71.4,51.97,OR,Rural,Eastern Zone
Mamit,78.79,933.82,81.49,61.68,27.48,97.49,77.46,92.89,18.82,18.08,33.46,22.79,36.25,47.17,50.07,34.58,56.4,86.49,6.03,5.1,30.48,10.54,6.12,11.29,11.39,20.15,28.61,14.79,MZ,Rural,North Eastern Zone
Kolasib,94.74,1001.07,97.45,90.08,82.02,99.69,97.22,99.48,36.55,13.77,33.86,15.79,78.56,66.16,98.45,55.1,77.79,79.57,18.53,18.36,22.3,8.65,6.27,26.88,23.39,40.49,37.98,16.52,MZ,Urban,North Eastern Zone
Kolasib,87.47,983.14,96.25,79.06,37.08,97.81,87.94,96.31,15.4,19.31,32.86,25.19,42.47,45.62,63.35,44.02,59.75,82.05,21.13,18.38,33.4,9.91,4.93,17.66,5.39,42.65,40.31,22.91,MZ,Rural,North Eastern Zone
Aizwal,96.04,878.53,94.39,90.66,98.7,99.12,98.8,99.21,55.39,5.68,40.32,18.32,81.67,58.23,98.5,43.3,76.52,66.0,17.05,17.59,22.03,6.78,4.6,29.56,31.23,7.34,17.54,5.9,MZ,Urban,North Eastern Zone
Champhai,96.12,1171.28,98.45,94.81,79.82,99.42,98.29,100.0,43.66,12.75,30.11,26.07,66.75,54.76,95.13,51.0,79.57,55.12,19.51,18.0,25.39,6.04,6.13,22.63,21.35,7.96,11.41,12.5,MZ,Urban,North Eastern Zone
Champhai,93.3,923.78,96.6,81.27,29.99,98.72,96.03,99.14,19.26,22.54,34.11,22.91,47.58,51.15,72.04,46.5,74.32,62.96,22.13,21.77,37.42,7.2,10.31,12.98,15.11,7.92,13.92,8.38,MZ,Rural,North Eastern Zone
Serchhip,96.51,905.24,96.92,92.93,82.65,99.79,99.65,100.0,40.09,6.88,39.12,19.64,75.72,67.99,95.8,59.56,72.61,72.3,15.95,14.4,22.85,8.78,6.02,22.33,17.75,32.08,25.18,12.11,MZ,Urban,North Eastern Zone
Serchhip,94.29,1004.79,95.34,89.58,25.82,98.74,97.94,100.0,20.52,7.19,44.83,18.79,56.25,53.84,74.16,63.67,70.07,72.45,34.63,30.83,30.7,12.5,14.45,10.01,11.09,22.43,24.2,7.38,MZ,Rural,North Eastern Zone
Lunglei,96.06,759.64,98.27,92.44,88.97,99.67,99.2,100.0,53.99,6.78,36.57,18.38,73.46,54.02,97.19,53.42,71.46,56.43,12.61,14.26,19.75,8.3,9.85,26.73,28.64,19.09,32.46,22.08,MZ,Urban,North Eastern Zone
Lunglei,88.1,887.52,90.7,66.63,24.58,99.51,87.3,98.34,18.8,25.75,24.12,19.81,33.18,31.06,60.46,41.34,61.14,63.27,10.92,9.88,28.8,11.04,9.7,14.86,11.63,31.69,40.9,26.64,MZ,Rural,North Eastern Zone
Lawngtlai,65.15,1130.61,79.25,59.15,27.22,99.25,65.25,89.84,19.58,17.74,23.73,19.32,31.83,37.43,34.65,33.7,37.74,74.64,7.15,6.18,39.06,9.73,11.02,8.76,13.82,36.13,37.9,17.75,MZ,Rural,North Eastern Zone
Saiha,94.39,1087.66,95.12,82.31,93.21,99.8,98.08,99.18,56.2,10.51,36.62,24.49,58.86,58.5,89.61,50.28,59.77,73.12,1.24,2.91,25.88,10.87,8.66,11.5,11.56,15.31,26.38,20.73,MZ,Urban,North Eastern Zone
Saiha,86.07,871.27,89.65,77.91,23.29,99.78,92.65,96.17,25.92,13.23,31.3,26.08,39.17,51.17,37.5,59.29,75.65,98.28,11.69,9.67,45.5,11.31,7.9,6.76,6.78,24.88,29.39,14.82,MZ,Rural,North Eastern Zone
Darjiling,72.1,1217.0,58.9,58.3,37.7,98.4,72.1,92.4,22.9,21.9,65.6,8.0,68.5,43.7,94.0,90.1,54.1,41.2,5.8,9.2,30.0,17.8,9.0,18.4,18.6,46.9,48.6,14.4,WB,Rural,Eastern Zone
