,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
115,Giridih,1528.24,1850.47,189.91,55.2,1090.77,752.1,11.91,9.1,46.55,74.45,15.33,56.56,43.51,57.23,35.25,93.74,9.51,6.36,59.61,40.11,61.24,10.55,44.98,63.54,39.08,1.62,1.52,45.24,36.43,75.42,69.92,21.13,8.24,4.03,JH,Rural,Eastern Zone
118,Deoghar,932.75,1046.98,146.6,54.66,974.62,808.03,9.43,8.18,46.01,79.01,16.7,61.25,40.87,61.89,22.27,92.1,19.9,8.02,36.87,23.37,53.55,5.18,62.3,42.01,35.14,7.13,7.3,45.65,42.28,64.51,57.42,5.87,3.6,3.81,JH,Rural,Eastern Zone
121,Godda,995.07,949.79,114.96,50.65,1027.02,912.63,14.6,4.11,40.61,73.57,16.73,65.18,40.71,56.25,28.22,93.57,9.13,3.15,45.27,25.31,57.72,8.46,60.76,47.29,40.22,6.75,6.51,55.11,36.95,81.99,71.8,10.88,5.35,3.64,JH,Rural,Eastern Zone
124,Sahibganj,771.94,817.63,106.11,48.48,991.51,854.88,21.63,6.0,41.44,57.06,12.52,42.73,32.2,35.05,19.95,89.26,8.13,3.71,34.81,21.46,46.7,7.3,62.81,48.59,28.98,5.74,5.64,49.53,32.14,71.07,62.15,10.52,4.24,2.35,JH,Rural,Eastern Zone
127,Pakur,678.09,775.83,105.79,50.14,1023.38,907.39,10.8,4.02,38.16,68.68,11.67,40.06,30.17,56.22,29.62,95.02,8.93,4.0,46.9,30.94,48.4,6.68,70.68,63.93,41.73,5.7,5.39,51.47,38.2,73.77,71.39,9.55,3.62,2.83,JH,Rural,Eastern Zone
129,Dhanbad,1216.41,1465.93,209.15,71.22,946.26,874.67,39.32,29.73,73.59,87.29,38.43,27.37,49.32,64.32,50.25,97.32,23.69,16.01,55.43,30.14,76.24,6.94,69.2,43.52,27.11,9.64,8.14,36.34,25.85,66.11,58.89,15.28,4.09,3.72,JH,Urban,Eastern Zone
130,Dhanbad,826.19,966.17,135.02,59.12,947.44,998.59,12.7,6.94,60.23,84.5,21.8,34.08,43.02,44.8,27.78,92.81,16.35,9.12,33.17,16.28,52.19,16.22,78.57,53.23,12.36,7.35,6.97,40.99,38.51,74.54,70.64,10.84,1.88,1.65,JH,Rural,Eastern Zone
132,Bokaro,836.73,987.99,127.01,72.15,988.23,941.18,59.0,48.74,72.88,86.65,46.38,22.85,51.08,78.29,53.59,95.45,33.85,26.17,66.86,25.17,74.95,9.52,60.69,49.34,27.07,9.65,8.91,32.85,24.36,68.5,67.1,10.3,2.17,4.49,JH,Urban,Eastern Zone
133,Bokaro,806.22,927.64,129.62,55.24,961.4,913.58,11.62,4.06,53.17,87.42,24.83,40.57,51.09,50.95,24.75,95.66,14.47,8.13,39.89,16.61,51.76,11.43,71.0,47.58,19.16,6.76,6.43,45.86,37.43,79.09,78.06,8.38,4.02,5.79,JH,Rural,Eastern Zone
136,Lohardaga,313.88,341.88,39.0,57.01,1042.17,1096.0,12.38,6.39,55.53,78.36,26.85,30.0,21.99,44.96,13.97,87.88,20.62,3.22,44.41,10.55,70.27,3.17,57.9,60.8,54.96,9.57,8.73,43.82,37.21,64.13,67.92,2.17,2.47,3.32,JH,Rural,Eastern Zone
