,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1388,East Kameng,748.67,742.71,97.63,56.84,998.7,1007.13,38.33,36.8,49.67,81.23,23.3,34.61,4.97,4.08,0.84,33.38,1.79,0.0,6.14,0.47,33.79,3.35,11.94,20.03,54.27,10.27,9.09,41.98,6.88,42.51,26.73,4.5,3.51,9.97,AR,Total,North Eastern Zone
1391,Papum Pare,2370.4,2486.93,322.88,77.27,977.9,792.79,68.0,84.31,75.6,92.1,47.79,23.32,12.63,33.44,26.15,74.14,11.76,2.27,35.87,1.61,80.63,1.69,34.92,51.48,37.38,10.27,13.5,25.26,9.46,53.49,44.02,10.38,9.19,30.61,AR,Total,North Eastern Zone
1394,Upper Subansiri,841.59,822.93,108.12,61.75,987.44,909.17,59.85,38.54,56.33,73.3,27.55,31.05,17.61,22.08,15.09,59.95,1.65,0.0,16.78,1.93,44.68,3.49,21.88,53.88,60.95,27.57,31.98,28.29,10.51,49.83,39.57,13.01,5.88,27.4,AR,Total,North Eastern Zone
1397,West Siang,1139.18,1007.07,141.9,70.54,874.93,867.19,76.03,48.74,75.7,89.21,43.25,21.22,9.29,34.24,17.98,51.29,1.3,1.3,24.63,6.13,50.17,2.17,34.42,45.76,65.96,17.27,17.86,34.74,5.26,32.59,35.18,9.51,10.1,25.16,AR,Total,North Eastern Zone
1400,East Siang,939.69,839.18,113.41,72.49,954.04,942.11,72.84,44.93,81.53,92.18,49.53,13.0,31.23,38.43,35.04,76.27,6.75,4.57,30.98,5.85,68.63,3.27,45.47,62.12,41.0,5.23,11.0,21.03,4.8,47.37,32.82,7.37,4.33,20.85,AR,Total,North Eastern Zone
1406,Changlang,1647.35,1719.57,242.41,66.64,964.67,989.53,56.4,26.45,63.9,89.22,22.38,19.18,47.69,48.17,38.87,83.76,11.07,7.17,44.94,24.73,51.51,1.14,79.5,25.66,68.56,7.63,7.3,23.48,9.3,63.48,54.16,9.95,5.01,7.63,AR,Total,North Eastern Zone
1409,Tirap,1197.15,1287.53,192.83,70.26,885.09,912.16,54.93,20.97,71.24,88.32,21.36,13.5,44.02,37.92,29.81,65.87,9.33,5.15,35.31,16.64,34.5,0.34,45.33,21.79,73.92,6.6,6.53,39.67,6.75,54.81,41.84,5.4,3.83,5.84,AR,Total,North Eastern Zone
1412,Lower Subansiri,785.31,690.37,94.99,62.98,1010.02,976.42,73.04,64.52,65.16,88.52,35.47,13.68,9.95,33.63,22.66,43.97,9.55,3.0,17.6,1.27,60.45,4.18,40.13,43.83,55.68,20.27,20.36,35.08,5.4,45.48,38.24,10.06,7.0,27.44,AR,Total,North Eastern Zone
1415,Kurung Kumey,861.83,785.24,101.86,54.08,1002.09,1124.06,46.71,39.24,44.51,71.13,16.43,37.84,11.91,17.93,7.94,38.55,2.56,0.4,17.01,1.93,29.61,1.96,17.42,22.85,53.76,7.68,7.15,38.93,3.27,44.49,27.53,7.66,5.1,16.44,AR,Total,North Eastern Zone
1418,Dibang Valley,47.23,34.96,4.6,63.86,955.93,1295.86,77.76,24.73,69.24,76.59,31.19,23.66,44.35,44.72,20.25,58.68,23.99,7.3,35.27,11.96,51.87,1.41,40.78,23.64,66.06,10.29,9.63,38.77,7.35,31.93,22.92,6.41,2.9,12.89,AR,Total,North Eastern Zone
