,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
947,Sonipat,836.0,1016.0,185.0,74.3,830.0,855.0,79.9,48.4,82.1,92.5,54.4,20.4,67.8,72.9,38.7,97.6,29.9,13.7,75.0,21.2,83.7,6.9,64.1,80.5,25.6,4.1,4.6,40.2,14.1,58.6,66.5,30.3,20.0,26.3,HR,Total,Northern Zone
948,Jind,638.0,828.0,111.0,66.4,878.0,995.0,82.2,24.1,74.9,87.5,43.7,15.5,71.9,81.4,56.6,98.5,29.8,22.8,67.8,18.2,93.0,1.2,88.1,71.4,66.1,7.5,6.7,27.2,17.3,75.8,61.2,62.7,8.8,25.8,HR,Rural,Northern Zone
949,Jind,836.0,1075.0,142.0,68.7,893.0,1003.0,84.6,36.8,77.2,89.5,47.8,15.8,71.8,82.5,57.1,97.7,33.2,25.5,66.1,19.8,92.9,1.9,89.0,74.5,65.5,10.4,8.9,26.0,17.0,76.6,62.7,58.3,12.6,28.0,HR,Total,Northern Zone
950,Fatehabad,682.0,903.0,137.0,63.2,916.0,961.0,85.9,25.6,69.2,90.9,34.7,17.9,70.3,88.4,59.7,96.3,43.9,24.6,74.7,39.9,91.5,4.9,86.9,64.8,52.9,11.3,10.1,30.1,23.5,73.6,66.4,42.1,30.5,39.2,HR,Rural,Northern Zone
951,Fatehabad,837.0,1104.0,186.0,65.1,908.0,922.0,87.5,39.1,71.8,87.3,38.3,16.4,70.3,87.5,60.7,96.6,49.1,29.0,77.5,39.9,91.2,5.8,87.6,65.0,55.2,12.1,10.8,28.5,22.2,70.5,65.4,42.4,30.2,40.5,HR,Total,Northern Zone
952,Sirsa,637.0,850.0,118.0,59.8,928.0,853.0,76.9,21.8,65.2,75.0,30.2,13.1,73.2,71.5,46.4,98.2,48.1,27.4,72.1,22.8,83.0,8.0,77.6,70.7,55.7,0.0,0.0,34.5,23.2,74.0,60.4,51.8,17.7,29.6,HR,Rural,Northern Zone
953,Sirsa,835.0,1101.0,157.0,64.9,913.0,847.0,79.5,41.8,70.3,79.0,36.2,15.6,68.2,77.2,55.9,98.7,41.2,25.2,77.4,19.6,85.1,6.6,75.2,66.1,45.0,0.0,0.0,34.2,20.6,72.4,59.3,44.7,15.0,23.6,HR,Total,Northern Zone
955,Hisar,418.0,561.0,84.0,62.1,877.0,748.0,83.3,18.3,67.7,83.6,35.0,18.8,70.3,57.4,31.8,97.4,35.7,8.6,77.7,33.0,90.6,2.3,77.0,92.3,36.5,1.9,3.4,25.5,17.2,64.3,60.5,24.8,18.7,35.2,HR,Rural,Northern Zone
956,Hisar,835.0,1089.0,166.0,67.2,883.0,776.0,84.5,38.8,73.3,89.4,42.8,15.5,70.5,59.8,40.5,97.8,32.9,9.4,74.2,29.6,90.8,3.0,75.3,90.2,40.3,2.1,3.2,25.6,14.9,66.4,59.5,31.5,22.5,40.2,HR,Total,Northern Zone
957,Bhiwani,678.0,901.0,129.0,66.3,963.0,999.0,81.3,22.9,75.1,86.0,43.1,20.7,72.2,66.1,49.9,94.3,32.0,15.1,74.5,20.2,86.6,5.3,71.0,71.1,41.4,4.5,4.2,36.8,23.4,74.4,64.3,24.3,13.1,20.3,HR,Rural,Northern Zone
958,Bhiwani,830.0,1101.0,170.0,68.9,980.0,999.0,82.6,33.4,76.2,87.3,45.3,21.5,70.7,70.9,53.8,94.5,31.9,17.8,77.3,21.3,87.2,4.7,66.1,66.2,39.7,4.8,4.6,35.1,21.4,74.8,64.8,24.4,12.1,21.1,HR,Total,Northern Zone
959,Rohtak,416.0,483.0,85.0,77.5,904.0,807.0,79.6,74.4,80.2,88.1,56.2,26.9,66.8,71.3,49.0,94.4,30.3,19.6,73.7,31.2,85.2,4.5,57.9,66.9,53.6,5.0,6.5,38.4,13.6,72.0,53.9,28.9,9.4,20.9,HR,Urban,Northern Zone
960,Rohtak,415.0,507.0,89.0,67.2,925.0,1010.0,75.0,23.9,76.5,89.7,39.9,18.6,61.5,74.4,48.0,97.5,26.0,10.4,78.3,34.9,87.0,2.7,67.0,59.6,50.6,4.1,5.2,35.5,17.9,78.8,60.7,25.1,11.2,18.9,HR,Rural,Northern Zone
961,Rohtak,831.0,990.0,174.0,71.4,916.0,930.0,77.0,45.8,78.0,89.0,46.7,21.8,63.7,73.2,48.4,96.3,27.7,14.0,76.5,33.4,86.3,3.4,64.1,62.4,51.7,4.4,5.6,36.6,16.1,76.3,57.8,26.7,10.4,19.7,HR,Total,Northern Zone
962,Jhajjar,614.0,779.0,133.0,71.0,915.0,694.0,85.6,25.9,81.9,96.3,51.9,17.4,66.1,59.4,45.7,94.2,30.2,10.1,57.5,30.8,91.2,3.4,54.6,78.2,41.2,18.5,17.4,19.0,12.2,69.8,58.8,9.0,8.2,16.7,HR,Rural,Northern Zone
963,Jhajjar,832.0,1031.0,175.0,72.6,894.0,713.0,86.4,43.9,82.5,94.8,53.2,15.6,67.2,68.6,52.7,95.1,30.5,16.3,62.2,24.8,86.9,3.8,50.0,80.5,29.5,12.6,12.5,22.3,12.4,70.9,61.1,12.5,8.2,16.9,HR,Total,Northern Zone
964,Mahendragarh,712.0,973.0,157.0,67.8,877.0,712.0,72.0,25.8,77.1,96.2,47.2,15.9,63.8,72.9,46.1,95.9,35.4,16.9,77.0,27.3,96.3,2.6,73.3,84.8,73.8,19.4,18.4,24.7,20.1,74.9,63.7,24.2,14.6,28.3,HR,Rural,Northern Zone
