,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
312,Ahmadnagar,603.0,638.0,84.0,medium,low,low,high,medium,medium,high,high,medium,medium,medium,medium,low,high,low,medium,high,medium,low,low,medium,medium,medium,medium,high,medium,low,MH,Rural,Western Zone
313,Ahmadnagar,749.0,798.0,110.0,medium,low,low,high,medium,medium,high,high,medium,medium,medium,medium,low,high,low,medium,high,medium,low,low,medium,medium,medium,medium,high,medium,low,MH,Total,Western Zone
314,Bid,618.0,614.0,101.0,medium,low,medium,high,medium,low,medium,high,low,high,high,high,low,high,low,medium,high,medium,low,low,medium,medium,medium,low,high,high,medium,MH,Rural,Western Zone
315,Bid,779.0,823.0,127.0,medium,low,medium,high,medium,low,medium,high,low,high,high,high,low,high,low,medium,high,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,MH,Total,Western Zone
316,Latur,584.0,669.0,116.0,medium,medium,medium,high,low,low,high,high,medium,medium,high,high,medium,high,low,medium,medium,medium,low,low,medium,medium,medium,medium,high,low,low,MH,Rural,Western Zone
317,Latur,792.0,967.0,151.0,medium,medium,medium,high,medium,low,high,high,medium,medium,high,high,medium,high,low,medium,medium,medium,low,low,medium,medium,medium,medium,high,low,low,MH,Total,Western Zone
318,Osmanabad,654.0,635.0,107.0,medium,medium,low,high,low,low,high,high,medium,medium,high,high,medium,high,low,medium,high,medium,low,low,medium,medium,medium,low,high,medium,low,MH,Rural,Western Zone
319,Osmanabad,773.0,769.0,121.0,medium,medium,low,high,low,low,high,high,medium,medium,high,high,medium,high,low,medium,medium,medium,low,low,medium,medium,medium,medium,high,medium,low,MH,Total,Western Zone
320,Solapur,383.0,503.0,65.0,high,medium,medium,high,medium,high,high,high,medium,medium,high,high,medium,high,low,high,medium,medium,low,low,low,low,medium,medium,medium,low,low,MH,Urban,Western Zone
321,Solapur,390.0,428.0,72.0,medium,low,low,high,medium,medium,medium,high,low,medium,high,high,medium,high,low,medium,medium,medium,low,low,low,medium,medium,medium,high,low,low,MH,Rural,Western Zone
322,Solapur,773.0,931.0,137.0,medium,medium,low,high,medium,medium,high,high,medium,medium,high,high,medium,high,low,medium,medium,medium,low,low,low,low,medium,medium,medium,low,low,MH,Total,Western Zone
323,Satara,601.0,606.0,87.0,medium,medium,medium,high,medium,medium,high,high,medium,medium,high,high,medium,high,low,medium,medium,high,low,low,low,medium,medium,medium,medium,low,low,MH,Rural,Western Zone
324,Satara,734.0,740.0,111.0,high,medium,medium,high,medium,medium,high,high,medium,low,high,high,medium,high,low,medium,medium,medium,low,low,low,medium,medium,medium,medium,low,low,MH,Total,Western Zone
325,Ratnagiri,642.0,611.0,66.0,medium,high,medium,high,medium,low,high,high,low,low,medium,high,medium,high,low,high,high,medium,low,low,low,medium,medium,medium,medium,low,low,MH,Rural,Western Zone
326,Ratnagiri,749.0,727.0,73.0,high,high,medium,high,high,medium,high,high,medium,low,medium,high,medium,high,low,high,high,medium,low,low,low,medium,medium,medium,medium,low,low,MH,Total,Western Zone
328,Sindhudurg,698.0,660.0,64.0,high,medium,low,medium,high,medium,high,high,medium,low,medium,high,low,high,low,high,high,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,MH,Total,Western Zone
331,Kolhapur,771.0,827.0,132.0,high,medium,low,high,medium,medium,high,high,medium,medium,medium,high,medium,high,low,medium,high,medium,low,low,low,medium,medium,medium,medium,low,low,MH,Total,Western Zone
332,Sangli,553.0,653.0,96.0,high,medium,medium,high,medium,medium,high,high,medium,medium,medium,medium,medium,high,low,medium,medium,medium,low,low,low,medium,medium,medium,medium,medium,low,MH,Rural,Western Zone
333,Sangli,745.0,863.0,122.0,high,medium,low,high,high,medium,high,high,medium,medium,medium,medium,medium,high,low,medium,medium,medium,low,low,low,medium,medium,medium,medium,medium,low,MH,Total,Western Zone
334,Korea,159.0,192.0,27.1,high,medium,low,high,medium,medium,high,high,medium,low,medium,medium,medium,high,low,high,high,medium,low,low,low,low,low,medium,low,low,low,CT,Urban,Central Zone
335,Korea,364.0,418.0,62.4,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,medium,medium,low,high,high,medium,medium,medium,medium,medium,low,medium,low,low,low,CT,Rural,Central Zone
336,Korea,523.0,611.0,89.5,medium,medium,medium,medium,low,low,medium,high,low,medium,medium,medium,medium,high,low,high,high,medium,medium,low,medium,medium,low,medium,low,low,low,CT,Total,Central Zone
337,Surguja,1697.0,1765.0,257.8,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,low,medium,low,medium,medium,low,low,low,medium,high,medium,medium,low,low,low,CT,Rural,Central Zone
338,Surguja,1904.0,2000.0,292.6,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,low,medium,low,medium,medium,low,low,low,medium,high,medium,medium,low,low,low,CT,Total,Central Zone
339,Jashpur,621.0,650.0,97.1,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,low,low,medium,low,medium,medium,low,low,low,medium,medium,low,medium,low,low,low,CT,Rural,Central Zone
340,Jashpur,670.0,707.0,108.7,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,medium,low,medium,low,medium,medium,low,low,low,medium,medium,low,medium,low,low,low,CT,Total,Central Zone
