,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1377,Hardwar,871.0,1101.0,131.0,0.728,0.905,0.773,0.669,0.727,0.733,0.895,0.374,0.124,0.415,0.33899999999999997,0.244,0.742,0.032,0.555,0.315,0.281,0.055,0.048,0.39899999999999997,0.154,0.7040000000000001,0.489,0.182,0.11800000000000001,0.114,UT,Urban,Central Zone
1378,Hardwar,914.0,1220.0,177.0,0.6629999999999999,0.9480000000000001,1.042,0.48700000000000004,0.242,0.611,0.8290000000000001,0.225,0.177,0.331,0.163,0.149,0.547,0.038,0.552,0.262,0.15,0.016,0.026000000000000002,0.385,0.249,0.715,0.602,0.10099999999999999,0.095,0.084,UT,Rural,Central Zone
1381,Tawang,380.59,333.07,35.15,0.382,1.05937,0.9397800000000001,0.5074000000000001,0.3958,0.358,0.5388000000000001,0.1522,0.06559999999999999,0.2314,0.0932,0.0737,0.2566,0.042,0.2583,0.2994,0.4949,0.20149999999999998,0.1984,0.2193,0.0339,0.44920000000000004,0.2643,0.079,0.0533,0.19829999999999998,AR,Rural,North Eastern Zone
1384,West Kameng,723.33,655.08,97.39,0.6128,0.9351,1.09585,0.5697,0.4725,0.5784,0.8567,0.20550000000000002,0.3107,0.1943,0.2677,0.0565,0.5202,0.0232,0.2427,0.41960000000000003,0.679,0.23850000000000002,0.26,0.2893,0.0832,0.38780000000000003,0.2657,0.1406,0.1167,0.16899999999999998,AR,Rural,North Eastern Zone
1387,East Kameng,511.63,493.45,62.39,0.498,0.9771699999999999,1.0543399999999998,0.2377,0.13419999999999999,0.4138,0.7570999999999999,0.1433,0.2566,0.0441,0.0058,0.020499999999999997,0.20879999999999999,0.019799999999999998,0.0481,0.1564,0.5887,0.0707,0.0707,0.3998,0.0737,0.4025,0.2703,0.035,0.0203,0.051699999999999996,AR,Rural,North Eastern Zone
1389,Papum Pare,1441.88,1471.24,206.31,0.8355,0.9672499999999999,0.7989900000000001,0.6969,0.9543,0.8229000000000001,0.9276000000000001,0.5738,0.1942,0.1109,0.3175,0.1433,0.8970999999999999,0.0125,0.3971,0.498,0.4572,0.11689999999999999,0.12990000000000002,0.193,0.08990000000000001,0.5646,0.4807,0.1195,0.0955,0.34,AR,Urban,North Eastern Zone
1390,Papum Pare,928.52,1015.69,116.57,0.6917,0.9917,0.7862100000000001,0.6539,0.6704000000000001,0.6592,0.9093000000000001,0.33880000000000005,0.2999,0.1459,0.19329999999999997,0.0862,0.7084,0.0217,0.2845,0.5317000000000001,0.2724,0.0805,0.14150000000000001,0.3115,0.1012,0.5071,0.38270000000000004,0.081,0.0867,0.2572,AR,Rural,North Eastern Zone
1393,Upper Subansiri,686.04,646.57,82.57,0.5757,0.9933099999999999,0.93018,0.5670000000000001,0.2579,0.5214,0.7008,0.2248,0.3035,0.1707,0.1429,0.0048,0.3948,0.0382,0.19640000000000002,0.495,0.6677,0.289,0.3214,0.2802,0.10099999999999999,0.4852,0.38299999999999995,0.1294,0.038,0.26039999999999996,AR,Rural,North Eastern Zone
1396,West Siang,800.64,740.03,115.49,0.6676000000000001,0.8812200000000001,0.91502,0.7106,0.3005,0.705,0.8881999999999999,0.368,0.2223,0.1177,0.1772,0.016,0.4445,0.0179,0.38539999999999996,0.48719999999999997,0.6712,0.1957,0.2003,0.364,0.057800000000000004,0.32689999999999997,0.35090000000000005,0.0888,0.0874,0.20629999999999998,AR,Rural,North Eastern Zone
1399,East Siang,606.98,546.91,73.34,0.6890000000000001,0.94841,0.9474199999999999,0.7115,0.2667,0.7842,0.8957999999999999,0.4341,0.2132,0.28309999999999996,0.3063,0.0973,0.6013000000000001,0.0462,0.5485,0.5645,0.3821,0.061900000000000004,0.1294,0.209,0.0471,0.4754,0.3456,0.0759,0.0462,0.205,AR,Rural,North Eastern Zone
